Symptoms,Disease Predictions
"Chronic Cough, Weight Loss, Night Sweats, Fever",Tuberculosis
"High Fever, Chills, Sweating, Muscle Aches",Malaria
"Persistent Fatigue, Swollen Lymph Nodes, Frequent Infections, Weight Loss",HIV/AIDS
"Jaundice, Abdominal Pain, Dark Urine, Fatigue",Hepatitis B
"Jaundice, Nausea, Fatigue, Joint Pain",Hepatitis C
"High Fever, Cough, Runny Nose, Rash",Measles
"Mild Fever, Swollen Lymph Nodes, Rash, Joint Pain",Rubella
"Swollen Salivary Glands, Fever, Headache, Muscle Pain",Mumps
"Sore Throat, Fever, Swollen Neck, Difficulty Breathing",Diphtheria
"Severe Coughing Fits, Vomiting, Fatigue, Fever",Whooping cough
"Muscle Stiffness, Jaw Cramping, Difficulty Swallowing, Seizures",Tetanus
"Severe Diarrhea, Dehydration, Vomiting, Leg Cramps",Cholera
"Painless Sore, Skin Rash, Fever, Swollen Lymph Nodes",Syphilis
"Painful Urination, Genital Discharge, Pelvic Pain, Swollen Testicles",Gonorrhea
"Painful Urination, Lower Abdominal Pain, Abnormal Discharge, Bleeding After Sex",Chlamydia
"Skin Lesions, Numbness, Muscle Weakness, Eye Problems",Leprosy
"Severe Headache, Stiff Neck, Fever, Sensitivity To Light",Bacterial Meningitis
"High Fever, Abdominal Pain, Weakness, Constipation Or Diarrhea",Typhoid fever
"Mild Fever, Rash, Joint Pain, Red Eyes",Zika
"High Fever, Severe Headache, Bleeding, Vomiting",Ebola
"Jaundice, High Fever, Muscle Pain, Nausea",Yellow fever
"High Fever, Severe Joint Pain, Skin Rash, Bleeding Gums",Dengue
"Itchy Rash, Fever, Fatigue, Loss Of Appetite",Chickenpox
"Paralysis, Muscle Weakness, Fever, Stiff Neck",Polio
"Fever, Cough, Body Aches, Fatigue",Influenza (Flu)
"Fatigue, Joint Pain, Butterfly Rash, Fever",Systemic Lupus Erythematosus
"Muscle Weakness, Vision Problems, Fatigue, Numbness",Multiple sclerosis
"Joint Pain, Swelling, Stiffness, Fatigue",Rheumatoid arthritis
"Diarrhea, Abdominal Pain, Weight Loss, Fatigue",Crohn’s disease
"Bloody Diarrhea, Abdominal Pain, Urgent Bowel Movements, Weight Loss",Ulcerative colitis
"Frequent Urination, Extreme Thirst, Unexplained Weight Loss, Fatigue",Type 1 diabetes
"Fatigue, Weight Gain, Cold Intolerance, Hair Thinning",Hashimoto's thyroiditis
"Weight Loss, Rapid Heartbeat, Bulging Eyes, Anxiety",Graves' disease
"Muscle Weakness, Drooping Eyelids, Difficulty Swallowing, Fatigue",Myasthenia gravis
"Scaly Patches, Itching, Skin Redness, Joint Pain",Psoriasis
"Headache, Dizziness, Blurred Vision, Shortness Of Breath",High blood pressure (Hypertension)
"Chest Pain, Shortness Of Breath, Fatigue, Leg Pain",Atherosclerosis
"Chest Pain, Shortness Of Breath, Sweating, Nausea",Myocardial infarction (Heart attack)
"Shortness Of Breath, Fatigue, Swelling In Legs, Rapid Heartbeat",Heart failure
"Sudden Weakness, Facial Drooping, Speech Difficulty, Loss Of Balance",Stroke (Cerebrovascular accident)
"Sudden Shortness Of Breath, Chest Pain, Coughing Blood, Dizziness",Pulmonary embolism
"Fever, Chills, Fatigue, Heart Murmur",Endocarditis
"Irregular Heartbeat, Palpitations, Dizziness, Shortness Of Breath",Atrial fibrillation
"Sharp Chest Pain, Fever, Cough, Fatigue",Pericarditis
"Chest Pain, Shortness Of Breath, Nausea, Sweating",Angina pectoris
"Chronic Cough, Chest Pain, Weight Loss, Shortness Of Breath",Lung cancer
"Lump In Breast, Nipple Discharge, Breast Pain, Skin Changes",Breast cancer
"Blood In Stool, Abdominal Pain, Unexplained Weight Loss, Fatigue",Colon cancer
"Frequent Urination, Weak Urine Flow, Pelvic Pain, Erectile Dysfunction",Prostate cancer
"Jaundice, Abdominal Pain, Unexplained Weight Loss, Nausea",Liver cancer
"Jaundice, Abdominal Pain, Weight Loss, Loss Of Appetite",Pancreatic cancer
"Frequent Infections, Easy Bruising, Fatigue, Night Sweats",Leukemia
"Swollen Lymph Nodes, Night Sweats, Weight Loss, Itching",Hodgkin lymphoma
"Unusual Mole, Skin Changes, Itching, Bleeding Mole",Melanoma
"Lump Under Skin, Bone Pain, Fatigue, Weight Loss",Sarcoma
"Memory Loss, Confusion, Mood Changes, Difficulty Speaking",Alzheimer’s disease
"Tremors, Slow Movement, Stiffness, Balance Problems",Parkinson’s disease
"Seizures, Loss Of Consciousness, Unusual Sensations, Jerking Movements",Epilepsy
"Muscle Weakness, Difficulty Speaking, Difficulty Swallowing, Muscle Twitching",Amyotrophic lateral sclerosis (ALS)
"Severe Headache, Nausea, Light Sensitivity, Visual Disturbances",Chronic migraines
"Involuntary Movements, Memory Problems, Depression, Difficulty Walking",Huntington's disease
"Muscle Weakness, Tingling, Difficulty Walking, Paralysis",Guillain-Barré syndrome
"Severe Headache, Fever, Seizures, Confusion",Encephalitis
"Excessive Daytime Sleepiness, Cataplexy, Sleep Paralysis, Hallucinations",Narcolepsy
"Loss Of Coordination, Muscle Weakness, Speech Difficulty, Scoliosis",Friedreich’s ataxia
"Frequent Urination, Increased Thirst, Fatigue, Blurred Vision",Type 2 diabetes
"No Symptoms Early On, Chest Pain, Xanthomas, Heart Attack Risk",Hypercholesterolemia
"Joint Pain, Swelling, Redness, Heat",Gout
"High Blood Pressure, High Blood Sugar, Abdominal Obesity, High Cholesterol",Metabolic syndrome
"Excessive Body Weight, Shortness Of Breath, Joint Pain, Fatigue",Morbid obesity
"Jaundice, Swelling In Legs, Abdominal Pain, Fatigue",Cirrhosis of the liver
"Fatigue, Swelling, Frequent Urination, Loss Of Appetite",Chronic kidney disease
"Severe Flank Pain, Bloody Urine, Nausea, Frequent Urination",Kidney stones
"Fever, Rash, Blood In Urine, Fatigue",Interstitial nephritis
"Jaundice, Abdominal Pain, Nausea, Loss Of Appetite",Alcoholic hepatitis
"Shortness Of Breath, Wheezing, Cough, Chest Tightness",Asthma
"Shortness Of Breath, Chronic Cough, Wheezing, Fatigue",Chronic obstructive pulmonary disease (COPD)
"Fever, Cough With Phlegm, Shortness Of Breath, Chest Pain",Bacterial pneumonia
"Shortness Of Breath, Chronic Cough, Fatigue, Clubbing Of Fingers",Idiopathic pulmonary fibrosis
"Fever, Cough, Fatigue, Muscle Aches",Influenza
"Loss Of Taste/smell, Dry Cough, Fever, Shortness Of Breath",COVID-19
"Cyclical Fever, Headache, Sweating, Nausea",Malaria
"Persistent Cough, Night Sweats, Weight Loss, Coughing Blood",Tuberculosis
"Excessive Thirst, Frequent Urination, Fatigue, Blurred Vision",Diabetes Mellitus
"Wheezing, Chest Tightness, Shortness Of Breath, Coughing",Asthma
"Headaches (severe), Blurred Vision, Nosebleeds, Shortness Of Breath",Hypertension
"Throbbing Headache, Nausea, Sensitivity To Light, Aura",Migraine
"Diarrhea, Vomiting, Abdominal Cramps, Fever",Gastroenteritis
"Right Lower Abdominal Pain, Nausea, Fever, Loss Of Appetite",Appendicitis
"Abdominal Pain, Bloating, Diarrhea/constipation, Gas",Irritable Bowel Syndrome
"Facial Drooping, Arm Weakness, Speech Difficulty, Confusion",Stroke
"Chest Pain, Pain Radiating To Arm, Shortness Of Breath, Cold Sweat",Heart Attack
"Seizures, Confusion, Unconsciousness, Jerking Movements",Epilepsy
"Persistent Sadness, Loss Of Interest, Sleep Changes, Fatigue",Major Depression
"Excessive Worry, Restlessness, Muscle Tension, Concentration Issues",Anxiety Disorder
"Bullseye Rash, Joint Pain, Fever, Fatigue",Lyme Disease
"Itchy Blisters, Fever, Fatigue, Loss Of Appetite",Chickenpox
"Fatigue, Weight Gain, Cold Intolerance, Dry Skin",Hypothyroidism
"Joint Pain, Morning Stiffness, Fatigue, Low-grade Fever",Rheumatoid Arthritis
"Cough With Phlegm, Fever, Chest Pain, Shortness Of Breath",Pneumonia
"Persistent Cough, Wheezing, Chest Discomfort, Fatigue",Bronchitis
"Jaundice, Fatigue, Abdominal Pain, Dark Urine",Hepatitis B
"High Fever, Severe Headache, Joint Pain, Rash",Dengue Fever
"Severe Diarrhea, Dehydration, Vomiting, Muscle Cramps",Cholera
"Facial Pain, Nasal Congestion, Headache, Postnasal Drip",Sinusitis
"Joint Pain, Stiffness, Swelling, Reduced Mobility",Osteoarthritis
"Sudden Joint Pain (big Toe), Swelling, Redness, Tenderness",Gout
"Red Patches With Scales, Itching, Dry Skin, Joint Pain",Psoriasis
"Itchy Skin, Redness, Dryness, Skin Cracking",Eczema
"Diarrhea, Abdominal Pain, Weight Loss, Fatigue",Crohn's Disease
"Bloody Diarrhea, Abdominal Cramps, Urgency To Defecate, Fatigue",Ulcerative Colitis
"Burning Stomach Pain, Blotting, Nausea, Dark Stools",Peptic Ulcer
"Sudden Upper Abdominal Pain, Nausea, Jaundice, Fever",Gallstones
"Severe Flank Pain, Painful Urination, Nausea, Blood In Urine",Kidney Stones
"Burning Urination, Frequent Urination, Cloudy Urine, Pelvic Pain",Urinary Tract Infection
"Fever (acute Phase), Weight Loss, Night Sweats, Fatigue",HIV/AIDS
"Blistering Sores, Itching, Burning Sensation, Flu-like Symptoms",Herpes Simplex
"High Fever, Cough, Runny Nose, Koplik Spots",Measles
"Swollen Salivary Glands, Fever, Headache, Muscle Aches",Mumps
"Muscle Stiffness, Jaw Locking, Difficulty Swallowing, Fever",Tetanus
"Fever, Headache, Hyperactivity, Difficulty Swallowing",Rabies
"Memory Loss, Confusion, Disorientation, Mood Changes",Alzheimer's Disease
"Tremors, Stiffness, Slow Movement, Balance Issues",Parkinson's Disease
"Muscle Weakness, Numbness, Vision Problems, Fatigue",Multiple Sclerosis
"Butterfly Rash, Joint Pain, Fatigue, Fever",Lupus
"Fatigue, Pale Skin, Shortness Of Breath, Dizziness",Anemia
"Fatigue, Frequent Infections, Weight Loss, Easy Bruising",Leukemia
"Changing Mole, Irregular Borders, Itching, Bleeding",Melanoma
"Chronic Cough, Shortness Of Breath, Wheezing, Chest Tightness","COPD""memory_loss"
"Tremors, Stiffness, Slow movement, Balance problems",Parkinson's disease
"Fatigue, Numbness, Vision problems, Muscle spasms",Multiple sclerosis
"Muscle weakness, Difficulty swallowing, Slurred speech, Muscle twitching",Amyotrophic lateral sclerosis (ALS)
"Progressive muscle weakness, Frequent falls, Walking difficulty",Muscular dystrophy
"Seizures, Temporary confusion, Staring spells, Uncontrollable movements",Epilepsy
"Sudden numbness, Vision problems, Dizziness, Severe headache",Stroke
"High fever, Stiff neck, Severe headache, Sensitivity to light",Meningitis
"Fever, Headache, Confusion, Sensitivity to light",Encephalitis
"Fever, Agitation, Confusion, Hydrophobia",Rabies
"Muscle stiffness, Jaw cramps, Painful spasms, Fever",Tetanus
"Fever, Sore throat, Muscle weakness, Paralysis",Poliomyelitis
"Muscle weakness, Tingling, Difficulty breathing",Guillain-Barré syndrome
"Muscle weakness, Drooping eyelids, Difficulty swallowing",Myasthenia gravis
"Joint pain, Butterfly rash, Fever, Fatigue",Systemic lupus erythematosus (SLE)
"Joint swelling, Morning stiffness, Fatigue",Rheumatoid arthritis
"Lower back pain, Stiffness, Reduced chest expansion",Ankylosing spondylitis
"Skin thickening, Raynaud phenomenon, Digestive issues",Scleroderma
"Dry eyes, Dry mouth, Joint pain",Sjogren’s syndrome
"Diarrhea, Bloating, Weight loss",Celiac disease
"Abdominal pain, Diarrhea, Rectal bleeding",Crohn’s disease
"Diarrhea with blood, Abdominal cramps, Urgency to defecate",Ulcerative colitis
"Abdominal pain, Bloating, Diarrhea or constipation",Irritable bowel syndrome (IBS)
"Abdominal pain, Nausea, Fever",Appendicitis
"Abdominal pain, Fever, Change in bowel habits",Diverticulitis
"Upper abdominal pain, Nausea, Bloating",Gastritis
"Abdominal pain radiating to back, Nausea, Vomiting",Pancreatitis
"Right upper abdominal pain, Nausea, Vomiting",Gallstones
"Right upper abdominal pain, Fever, Nausea",Cholecystitis
"Fatigue, Abdominal discomfort, Jaundice",Fatty liver disease
"Jaundice, Swelling in legs, Easy bruising",Cirrhosis
"Joint pain, Abdominal pain, Darkening skin",Hemochromatosis
"Tremors, Difficulty speaking, Jaundice",Wilson’s disease
"Salty tasting skin, Persistent cough, Poor growth",Cystic fibrosis
"Shortness of breath, Chronic cough, Wheezing",Chronic obstructive pulmonary disease (COPD)
"Shortness of breath, Reduced exercise tolerance, Chronic cough",Emphysema
"Progressive shortness of breath, Dry cough, Fatigue",Pulmonary fibrosis
"Persistent cough, Coughing up blood, Chest pain",Lung cancer
"Chest pain, Shortness of breath, Fatigue",Mesothelioma
"Chronic cough, Foul smelling sputum, Recurrent infections",Bronchiectasis
"Loud snoring, Daytime sleepiness, Morning headache",Sleep apnea
"Chest pain, Shortness of breath, Rapid heartbeat",Pulmonary embolism
"Leg swelling, Leg pain, Warmth in affected area",Deep vein thrombosis (DVT)
"Leg pain while walking, Numbness, Slow healing wounds",Peripheral artery disease (PAD)
"Abdominal pain, Pulsating feeling in abdomen",Aortic aneurysm
"Fluttering in chest, Racing heartbeat, Dizziness",Arrhythmia
"Shortness of breath, Swelling in legs, Fatigue",Cardiomyopathy
"Fever, Irregular heartbeat, New murmur",Endocarditis
"Sharp chest pain, Shortness of breath, Fatigue",Pericarditis
"Chest pain, Palpitations, Dizziness",Mitral valve prolapse
"Chest pain, Leg pain with walking, High blood pressure",Atherosclerosis
"Yellowish skin deposits, Chest pain, Fatigue",High cholesterol
"Abdominal obesity, High blood pressure, Insulin resistance",Metabolic syndrome
"Intense joint pain, Redness in joints, Swelling",Gout
"Fatigue, Pale skin, Shortness of breath",Anemia
"Episodes of pain, Swelling in hands and feet, Fatigue",Sickle cell disease
"Pale skin, Fatigue, Dark urine",Thalassemia
"Prolonged bleeding, Easy bruising, Joint pain",Hemophilia
"Fatigue, Frequent infections, Weight loss",Leukemia
"Swollen lymph nodes, Fatigue, Night sweats",Lymphoma
"Bone pain, Frequent infections, Kidney problems","Multiple myeloma""itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches"
"Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Skin rash, Dischromic  patches",Fungal infection
"Itching, Skin rash, Nodal skin eruptions",Fungal infection
"Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Itching, Skin rash, Dischromic  patches",Fungal infection
"Itching, Skin rash, Nodal skin eruptions",Fungal infection
"Itching, Skin rash, Nodal skin eruptions, Dischromic  patches",Fungal infection
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Shivering, Chills, Watering from eyes",Allergy
"Continuous sneezing, Chills, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Chills",Allergy
"Shivering, Chills, Watering from eyes",Allergy
"Continuous sneezing, Chills, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Watering from eyes",Allergy
"Continuous sneezing, Shivering, Chills",Allergy
"Continuous sneezing, Shivering, Chills, Watering from eyes",Allergy
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Stomach pain, Ulcers on tongue, Vomiting, Cough",GERD
"Stomach pain, Acidity, Vomiting, Cough",GERD
"Stomach pain, Acidity, Ulcers on tongue, Cough",GERD
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Stomach pain, Acidity, Ulcers on tongue, Vomiting",GERD
"Acidity, Ulcers on tongue, Vomiting, Cough",GERD
"Stomach pain, Ulcers on tongue, Vomiting, Cough",GERD
"Stomach pain, Acidity, Vomiting, Cough",GERD
"Stomach pain, Acidity, Ulcers on tongue, Cough",GERD
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Vomiting, Yellowish skin, Nausea, Loss of appetite",Chronic cholestasis
"Itching, Yellowish skin, Nausea, Loss of appetite",Chronic cholestasis
"Itching, Vomiting, Nausea, Loss of appetite",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Loss of appetite",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Vomiting, Yellowish skin, Nausea",Chronic cholestasis
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Itching, Stomach pain, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Skin rash, Stomach pain, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Stomach pain, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Burning micturition, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Spotting  Urination",Drug Reaction
"Itching, Skin rash, Stomach pain, Burning micturition",Drug Reaction
"Vomiting, Loss of appetite, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Indigestion, Loss of appetite, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Loss of appetite, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Abdominal pain, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Passage of gases",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Vomiting, Indigestion, Loss of appetite, Abdominal pain",Peptic ulcer diseae
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Patches in throat, High fever, Extra marital contacts",AIDS
"Muscle wasting, High fever, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, High fever",AIDS
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, High fever, Extra marital contacts",AIDS
"Patches in throat, High fever, Extra marital contacts",AIDS
"Muscle wasting, High fever, Extra marital contacts",AIDS
"Muscle wasting, Patches in throat, High fever",AIDS
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Weight loss, Restlessness, Lethargy, Irregular sugar level",Diabetes
"Fatigue, Restlessness, Lethargy, Irregular sugar level",Diabetes
"Fatigue, Weight loss, Lethargy, Irregular sugar level",Diabetes
"Fatigue, Weight loss, Restlessness, Irregular sugar level",Diabetes
